identifiant,Arrondissement,Regime_particulier,Duree,Mois,Latitude,Longitude
5517,7.0,Stationnement_simple,1440.0,8.0,48.8554152129,2.30707015235
5597,20.0,Stationnement_simple,1440.0,8.0,48.870901358,2.39901614007
5587,17.0,Arret_vigipirate_perennise,1440.0,8.0,48.8859636733,2.29972258619
5542,18.0,Stationnement_genant,1440.0,8.0,48.8829178541,2.3435972598
5602,16.0,Stationnement_genant,1440.0,8.0,48.8393802693,2.26234805286
5647,19.0,Arret_vigipirate_perennise,1440.0,8.0,48.8779899974,2.3848719056
5714,17.0,Stationnement_simple,1440.0,8.0,48.8856582693,2.29799353058
5706,19.0,Arret_vigipirate_perennise,1440.0,8.0,48.8875623477,2.37019101195
5712,17.0,Stationnement_genant,1440.0,8.0,48.8843497238,2.29580135852
5713,17.0,Stationnement_genant,1440.0,8.0,48.8841677703,2.29602041054
5733,18.0,Stationnement_simple,1440.0,8.0,48.894071727,2.3415671113
5775,13.0,Stationnement_genant,1440.0,8.0,48.8229874724,2.35688964638
5853,19.0,Arret_vigipirate_non_perennise,1440.0,8.0,48.881213035,2.37510696443
5835,5.0,Stationnement_simple,1440.0,8.0,48.8444940892,2.3536145023
5916,19.0,Arret_vigipirate_perennise,1440.0,8.0,48.8859340386,2.39902710369
5962,16.0,Arret_Pompiers,1440.0,8.0,48.8700330087,2.27955748231
5999,18.0,Stationnement_genant,1440.0,8.0,48.8867739292,2.34122727797
6029,18.0,Stationnement_genant,1440.0,8.0,48.8841171193,2.34171424794
6059,20.0,Arret_vigipirate_perennise,1440.0,8.0,48.8514370496,2.41084629404
6078,18.0,Stationnement_simple,1440.0,8.0,48.8937820181,2.34759681197
6112,17.0,Stationnement_genant,1440.0,8.0,48.888177167,2.32447300838
7823,20.0,Arret_vigipirate_perennise,1440.0,7.0,48.8698608711,2.38062769997
7825,13.0,Stationnement_genant,1440.0,7.0,48.8275215329,2.38544534508
7881,17.0,Stationnement_simple,1440.0,8.0,48.8833787596,2.30980667904
7906,19.0,Stationnement_genant,1440.0,8.0,48.8987631545,2.38337181112
7925,18.0,Arret_vigipirate_perennise,1440.0,8.0,48.8862731871,2.35563668414
7954,19.0,Stationnement_genant,1440.0,8.0,48.8839159632,2.39680675834
7968,20.0,Arret_vigipirate_perennise,1440.0,8.0,48.8678456833,2.4109609045
7996,13.0,Stationnement_genant,1440.0,7.0,48.8267883238,2.35356096188
7988,19.0,Stationnement_genant,1440.0,8.0,48.8935472316,2.3833969295
8015,17.0,Arret_Pompiers,1440.0,8.0,48.8868160402,2.31730094664
8022,10.0,Stationnement_genant,1440.0,8.0,48.8806868021,2.36582655191
8085,15.0,Stationnement_genant,1440.0,8.0,48.8342241364,2.28465449634
8091,15.0,Arret_simple,1440.0,8.0,48.8361531084,2.29359121134
8202,10.0,Stationnement_genant,1440.0,8.0,48.8703802825,2.36205664745
8223,18.0,Stationnement_genant,1440.0,8.0,48.8943383175,2.33250877832
8237,16.0,Stationnement_simple,1440.0,8.0,48.8395773124,2.26316416979
8255,15.0,Stationnement_simple,1440.0,8.0,48.8366622697,2.30320878531
8280,17.0,Stationnement_simple,1440.0,8.0,48.8862515377,2.29585382895
8297,12.0,Stationnement_genant,1440.0,8.0,48.8445167189,2.37699413596
8320,16.0,Stationnement_simple,1440.0,8.0,48.854113851,2.27790033368
8355,19.0,Arret_vigipirate_perennise,1440.0,8.0,48.8878859555,2.37051142837
8364,19.0,Stationnement_genant,1440.0,8.0,48.8768128769,2.38782971191
8378,16.0,Arret_simple,1440.0,8.0,48.852486765,2.26807638745
8365,20.0,Stationnement_genant,1440.0,8.0,48.874259243,2.38790719433
8405,16.0,Arret_Pompiers,1440.0,8.0,48.8541737857,2.27546000363
8459,13.0,Arret_Pompiers,1440.0,8.0,48.8235620643,2.36532498251
8478,16.0,Arret_simple,1440.0,8.0,48.8499588637,2.26572264275
8510,16.0,Stationnement_simple,1440.0,8.0,48.8603257415,2.28086418437
8533,13.0,Arret_Pompiers,1440.0,7.0,48.8191242297,2.36554839946
4610,17.0,Stationnement_simple,1440.0,8.0,48.8770554125,2.28547893255
8579,15.0,Stationnement_simple,1440.0,8.0,48.8377230216,2.31367581998
8591,15.0,Arret_genant_divers,1440.0,8.0,48.8379097575,2.27189064989
8593,15.0,Arret_simple,1440.0,8.0,48.8381800449,2.27126358592
8626,18.0,Stationnement_genant,1440.0,8.0,48.8952280506,2.33972229634
8632,18.0,Stationnement_genant,1440.0,8.0,48.8942830135,2.33882833698
4678,16.0,rien,1440.0,8.0,48.8665406743,2.27594014391
4693,16.0,Arret_vigipirate_non_perennise,1440.0,8.0,48.8562472015,2.26765480816
4725,17.0,Stationnement_genant,1440.0,8.0,48.8931476777,2.32736679254
4743,18.0,Stationnement_simple,1440.0,8.0,48.8903807589,2.3285695282
4767,16.0,Stationnement_genant,1440.0,8.0,48.8507060233,2.2646617442
4740,16.0,Stationnement_simple,1440.0,8.0,48.8590829129,2.27234486723
4741,16.0,Stationnement_simple,1440.0,8.0,48.8582313598,2.27309180918
4763,16.0,Stationnement_simple,1440.0,8.0,48.8639748576,2.28535185995
4788,15.0,Stationnement_genant,1440.0,8.0,48.8359209935,2.27832549468
4806,16.0,Stationnement_simple,1440.0,8.0,48.8598500087,2.27321178147
4924,15.0,Livraison_BUS,1140.0,8.0,48.8360127503,2.30047711243
4936,15.0,Stationnement_simple,1440.0,8.0,48.8357802815,2.30229686309
4989,19.0,Stationnement_genant,1440.0,8.0,48.9008832685,2.37173488168
5138,17.0,Stationnement_simple,1440.0,8.0,48.8883488444,2.3001006126
5117,18.0,Stationnement_genant,1440.0,8.0,48.8953339243,2.32864679529
5186,16.0,Stationnement_simple,1440.0,8.0,48.8458486514,2.26875026071
5214,16.0,Stationnement_simple,1440.0,8.0,48.8453201067,2.26039253088
5255,17.0,Stationnement_genant,1440.0,8.0,48.8986480234,2.32288565319
5290,14.0,Stationnement_genant,1440.0,8.0,48.8273982555,2.32649118859
5316,17.0,Stationnement_genant,1440.0,8.0,48.8862250597,2.32006980237
5327,21.0,Stationnement_genant,1440.0,1.0,48.8331334427,2.41400219261
5335,17.0,Stationnement_genant,1440.0,8.0,48.8837036632,2.32079834466
6132,19.0,Stationnement_genant,1440.0,8.0,48.8867139076,2.36716286512
6145,19.0,Arret_vigipirate_perennise,1440.0,8.0,48.8855526956,2.36826542365
6170,20.0,Stationnement_genant,1440.0,8.0,48.8746120137,2.41296322973
6202,17.0,Arret_vigipirate_perennise,1440.0,8.0,48.8989132882,2.32650157985
6240,12.0,Arret_vigipirate_perennise,1440.0,8.0,48.8402246783,2.40916666195
6296,20.0,Stationnement_simple,1440.0,8.0,48.851513179,2.40062022524
6277,20.0,Stationnement_genant,1440.0,8.0,48.8532264848,2.40325709809
6365,20.0,Arret_simple,1440.0,8.0,48.8605480713,2.40942046662
6375,20.0,Arret_Pompiers,1440.0,8.0,48.8587699435,2.40988425727
6372,20.0,Stationnement_genant,1440.0,8.0,48.8611973593,2.39948483248
6380,6.0,Stationnement_genant,1440.0,8.0,48.8548447846,2.33946104937
6386,19.0,Arret_Pompiers,1440.0,8.0,48.8937001354,2.38292133479
6399,19.0,Arret_vigipirate_perennise,1440.0,8.0,48.892411849,2.38335572059
6405,4.0,Arret_vigipirate_perennise,1440.0,8.0,48.85286843,2.36027123423
6406,0.0,Stationnement_genant,1440.0,8.0,48.8846121065,2.38276080298
6471,19.0,Stationnement_simple,1440.0,8.0,48.8898745989,2.37607198799
6544,18.0,Stationnement_genant,1440.0,8.0,48.8899031141,2.36279682001
6534,20.0,Stationnement_genant,1440.0,8.0,48.8774595833,2.40825065631
6602,17.0,Stationnement_genant,1440.0,8.0,48.8865321489,2.31826182887
6582,20.0,Arret_simple,1440.0,8.0,48.8749767784,2.40775171625
6587,20.0,Stationnement_genant,1440.0,8.0,48.8749613118,2.40767616174
6628,20.0,Stationnement_genant,1440.0,7.0,48.868749784,2.38603848667
6611,19.0,Stationnement_genant,1440.0,8.0,48.8784761549,2.39079999208
6655,20.0,Stationnement_genant,1440.0,8.0,48.8653423723,2.398933287
6672,1.0,Stationnement_genant,1440.0,8.0,48.8611276643,2.34083925431
6675,20.0,Arret_vigipirate_perennise,1440.0,8.0,48.8650125208,2.39736816856
6694,19.0,Stationnement_genant,1440.0,8.0,48.8959892033,2.3800752571
6722,20.0,Arret_simple,1440.0,8.0,48.8659830347,2.40880443464
9791,22.0,Stationnement_genant,1440.0,6.0,48.8640139302,2.24053536435
9807,22.0,Stationnement_genant,1440.0,5.0,48.8631796403,2.25331176544
9829,22.0,Stationnement_genant,1440.0,5.0,48.8661821995,2.2571935572
9854,17.0,Stationnement_genant,1440.0,8.0,48.9006018601,2.32039539278
9946,19.0,Stationnement_genant,1440.0,8.0,48.8816215802,2.40226916788
9953,19.0,Arret_genant_divers,1440.0,8.0,48.8848562046,2.38648547996
9974,12.0,Stationnement_genant,1440.0,8.0,48.8269038004,2.39287749456
9987,13.0,Stationnement_simple,1440.0,8.0,48.822225181,2.35824784449
9988,14.0,Stationnement_genant,1440.0,8.0,48.8169550864,2.33274110625
10011,17.0,Arret_vigipirate_non_perennise,1440.0,8.0,48.8864989267,2.31962571282
10031,11.0,Stationnement_simple,1440.0,7.0,48.8562536006,2.38139390167
10082,8.0,Stationnement_genant,1440.0,8.0,48.8717295624,2.30111539344
10090,17.0,Stationnement_genant,1440.0,8.0,48.8747468024,2.29234877213
10105,16.0,Stationnement_genant,1440.0,8.0,48.8763712291,2.28651129905
10122,16.0,Stationnement_simple,1440.0,8.0,48.874452465,2.28995153431
10152,8.0,Stationnement_genant,1440.0,8.0,48.8702882393,2.30474863757
10187,8.0,Stationnement_genant,1440.0,8.0,48.8701041283,2.32352706335
10203,11.0,Stationnement_genant,1440.0,8.0,48.8625480389,2.37225610015
10205,11.0,Stationnement_genant,1440.0,7.0,48.8629112822,2.37164582742
10226,13.0,Stationnement_genant,1440.0,8.0,48.8195342466,2.373044338
10237,13.0,Stationnement_genant,1440.0,7.0,48.8329565837,2.35549375248
10243,10.0,Stationnement_genant,1440.0,8.0,48.8684379468,2.36622181826
10245,5.0,Stationnement_simple,1440.0,8.0,48.8495856778,2.34882485251
10284,9.0,Arret_simple,1440.0,8.0,48.8736767286,2.34519460276
10285,9.0,Stationnement_genant,1440.0,8.0,48.8733866113,2.34522282233
10393,2.0,Stationnement_genant,1440.0,8.0,48.8667423414,2.33737425136
8722,14.0,Stationnement_genant,1440.0,8.0,48.8296619056,2.32300430531
8770,15.0,Stationnement_genant,1440.0,8.0,48.8408240462,2.2954170382
10449,15.0,Stationnement_genant,1440.0,8.0,48.8526172554,2.28743288161
10474,2.0,Stationnement_genant,1440.0,8.0,48.8644127094,2.35127879819
8885,20.0,Arret_genant_divers,1440.0,8.0,48.8714140755,2.40986947178
8924,21.0,Stationnement_genant,1440.0,6.0,48.8273241741,2.45404275067
8925,21.0,Stationnement_genant,1440.0,6.0,48.8334724351,2.44558842202
8931,21.0,Stationnement_genant,1440.0,9.0,48.8335911866,2.44530693381
8950,21.0,Stationnement_genant,1440.0,9.0,48.8208989959,2.45201623256
8992,21.0,Arret_genant_divers,1440.0,8.0,48.8444241251,2.44218760897
9008,21.0,Stationnement_simple,1440.0,9.0,48.8445711473,2.4465700644
9020,21.0,Stationnement_genant,1440.0,9.0,48.8438095047,2.44717042694
9033,21.0,Stationnement_genant,1440.0,7.0,48.8387193826,2.45107454022
9068,21.0,Stationnement_genant,1440.0,8.0,48.8431556623,2.42235493724
9084,21.0,Arret_Pompiers,1440.0,9.0,48.8418914099,2.42439557559
9085,21.0,Stationnement_genant,1440.0,9.0,48.8418440727,2.42453438158
9097,21.0,Stationnement_genant,1440.0,10.0,48.8281065777,2.41621702171
9100,21.0,Stationnement_genant,1440.0,10.0,48.8346556702,2.40883775367
9119,21.0,Stationnement_genant,1440.0,9.0,48.8289086795,2.4198145568
9199,21.0,Arret_vigipirate_non_perennise,1440.0,9.0,48.8223973752,2.45901041891
9230,21.0,Stationnement_genant,1440.0,7.0,48.834873534,2.45397997534
9263,21.0,Stationnement_genant,1440.0,6.0,48.8414656823,2.45098482765
9290,21.0,Arret_genant_divers,1440.0,10.0,48.8404128747,2.43411940175
9320,21.0,Arret_genant_divers,1440.0,7.0,48.8298591936,2.46093603077
9361,12.0,Arret_genant_divers,1440.0,8.0,48.8450773163,2.41317056641
9408,8.0,Stationnement_genant,1440.0,8.0,48.8711002043,2.30099521214
10884,14.0,Stationnement_genant,1440.0,8.0,48.823568367,2.32549916063
10868,7.0,Stationnement_simple,1440.0,8.0,48.8590293043,2.32017449337
10995,15.0,Stationnement_simple,1440.0,8.0,48.8317703707,2.30607692369
11009,15.0,Stationnement_simple,1440.0,8.0,48.836016802,2.2971835023
11035,10.0,Stationnement_genant,1440.0,8.0,48.8770077446,2.35612703345
11064,8.0,Arret_vigipirate_non_perennise,1440.0,8.0,48.8705994705,2.31310971148
11081,8.0,Arret_genant_divers,1440.0,8.0,48.8775470654,2.31483109002
11110,9.0,Stationnement_genant,1440.0,8.0,48.8821325423,2.34202666615
11107,10.0,Arret_simple,1440.0,8.0,48.8811933594,2.37002391855
11136,19.0,Arret_Pompiers,1440.0,8.0,48.8989018455,2.37722121136
11149,19.0,Stationnement_genant,1440.0,8.0,48.8746462391,2.38312950636
11264,17.0,Stationnement_genant,1440.0,1.0,48.8860253936,2.30352495236
11275,18.0,Arret_genant_divers,1440.0,1.0,48.8855806295,2.35429815283
11337,4.0,Stationnement_genant,1440.0,1.0,48.8539332397,2.35979553364
11343,11.0,Arret_genant_divers,1440.0,3.0,48.8553911016,2.39509836857
11410,10.0,Stationnement_simple,1440.0,7.0,48.8700215565,2.36374009507
11437,19.0,Stationnement_genant,1440.0,3.0,48.8960808485,2.37439798559
9432,22.0,Arret_vigipirate_non_perennise,1440.0,5.0,48.8762872159,2.26366811407
9438,22.0,Stationnement_genant,1440.0,5.0,48.8768437017,2.26056674611
9484,22.0,Stationnement_simple,1440.0,6.0,48.8672599063,2.26538982744
9518,22.0,Stationnement_genant,1440.0,5.0,48.8584236435,2.26091121454
9531,22.0,Stationnement_genant,1440.0,5.0,48.8580299558,2.24689836459
9583,22.0,Stationnement_genant,1440.0,6.0,48.8488079055,2.24554347102
9602,22.0,Stationnement_genant,1440.0,7.0,48.8478267959,2.24244237655
9639,22.0,Stationnement_genant,1440.0,7.0,48.8630697709,2.23776106105
9661,22.0,Stationnement_genant,1440.0,5.0,48.8532710524,2.22675408079
9665,22.0,Stationnement_genant,1440.0,5.0,48.8528643913,2.22955630642
10641,4.0,Stationnement_genant,1440.0,7.0,48.8509888665,2.36300048766
10656,5.0,Stationnement_simple,1440.0,7.0,48.8430196246,2.34884703885
10685,6.0,Stationnement_genant,1440.0,7.0,48.8562641772,2.33733310408
10693,20.0,Arret_genant_divers,1440.0,7.0,48.8760057691,2.40602926195
10722,12.0,Stationnement_genant,1440.0,7.0,48.8490116261,2.37457927948
10736,11.0,Arret_genant_divers,1440.0,7.0,48.8639548308,2.38179296634
10794,20.0,Stationnement_genant,1440.0,7.0,48.8669809292,2.38625332109
10830,12.0,Stationnement_genant,1440.0,7.0,48.8473462869,2.39107192795
10834,12.0,Arret_vigipirate_perennise,1440.0,7.0,48.8490039108,2.39130070825
10801,11.0,Stationnement_genant,1440.0,7.0,48.8526413865,2.38867377708
3182,5.0,Stationnement_genant,1440.0,8.0,48.8436855601,2.35508573702
3203,13.0,Stationnement_genant,1440.0,7.0,48.8276139282,2.37134464317
3286,5.0,Stationnement_genant,1440.0,8.0,48.8474082273,2.34308531843
3305,5.0,Arret_genant_divers,1440.0,8.0,48.8494677501,2.35311810036
3355,0.0,Stationnement_genant,1440.0,8.0,48.8935745571,2.38472552926
3414,6.0,Arret_vigipirate_perennise,1440.0,8.0,48.8453824305,2.32812305003
3478,5.0,Stationnement_genant,1440.0,8.0,48.8481650757,2.34651767655
6813,0.0,Stationnement_genant,1440.0,8.0,48.8623875807,2.30847833704
6806,20.0,Stationnement_simple,1440.0,8.0,48.8662236196,2.4068896188
6822,20.0,Stationnement_genant,1440.0,7.0,48.8559799726,2.40440286751
6857,19.0,Stationnement_simple,1440.0,8.0,48.882937628,2.37430464537
6870,18.0,Stationnement_genant,1440.0,8.0,48.884320711,2.33976935193
6867,4.0,Stationnement_simple,1440.0,8.0,48.8538228178,2.35737526186
6881,4.0,Stationnement_genant,1440.0,8.0,48.8542025353,2.3552028118
6883,0.0,Stationnement_genant,1440.0,8.0,48.8542523436,2.35543627519
6885,0.0,Stationnement_genant,1440.0,8.0,48.8539485858,2.35625064915
6932,13.0,Arret_Pompiers,1440.0,7.0,48.8322711549,2.3550978331
6935,13.0,Stationnement_genant,1440.0,7.0,48.831985081,2.35505943225
6921,0.0,Livraison_BUS,1140.0,7.0,48.8547085187,2.4055720562
6960,20.0,Stationnement_genant,1440.0,8.0,48.8542966741,2.40286304369
6994,20.0,Arret_vigipirate_perennise,1440.0,8.0,48.8727328723,2.39408348866
7026,0.0,Arret_vigipirate_perennise,1440.0,8.0,48.8936894555,2.37183223038
7087,7.0,Stationnement_genant,1440.0,8.0,48.8541317581,2.3079421598
