identifiant	Regime_prioritaire	Regime_particulier	Arrondissement	Zone_Residentielle	Tarification	Type_de_voie	Nom_de_la_voie	Parite	Longueur	Longueur_calculee	Signalisation_horizontale	Signalisation_verticale	Conformite_signalisation	Plage_horaire_1-Debut	Plage_horaire_1-Fin	Plage_horaire_2-Debut	Plage_horaire_2-Fin	Date_du_releve	Derniere_date_edition	Code_Voie_Ville_de_Paris	Numero_Sequentiel_Tronçon_Voie	Zone_ASP	Numero_Section_Territoriale_de_Voirie	geo_point_2d
785301D20130502134642	INTERDIT	Arret_genant_divers	17	17J	2.40	RUE_DE	PRONY	Pair	5.88	5.88	Presente	Avec_panonceau	Conforme					2020-08-31	2017-09-20	7830	750600146	17ZH	5	48.8811834562,2.30704123458
079403G20111012151654	INTERDIT	Arret_vigipirate_perennise	16	16S	2.40	BOULEVARD_DE	BEAUSEJOUR	Impair	18.19	18.19	Absente	Avec_panonceau	Conforme					2020-08-31	2017-09-21	790	1750608195	16Z5	4	48.857488277,2.27029755841
379609G20150205101142	INTERDIT	Stationnement_genant	13	13P	2.40	AVENUE_DE	FRANCE	Pair	25.88	25.88	Absente	Avec_panonceau	Conforme					2020-07-08	2020-07-28	3794	750617631	13Z6	8	48.8277864668,2.37955183636
739702G20110922142158	INTERDIT	Stationnement_genant	16	16E	2.40	RUE	PICCINI	Impair	89.58	89.58	Presente	Avec_panonceau	Conforme					2020-08-31	2017-11-30	7357	1750602237	16Z1	4	48.874207475,2.28498851661
263202D20111129133415	INTERDIT	Stationnement_genant				RUE	DECAMPS	Pair	12.78	12.78	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-20	2640	750605763			48.8646490843,2.28109063385
179408D20100921125947	INTERDIT	Stationnement_genant	12	12G	2.40	RUE_DE	CHARENTON	Pair	46.69	46.69	Absente	Avec_panonceau	Conforme					2020-08-31	2017-12-08	1799	750611517	12ZA	8	48.8480735084,2.37643735498
673901G20110927160626	INTERDIT	Stationnement_genant	16	16G	2.40	RUE	NEWTON	Impair	24.95	24.95	Absente	Avec_panonceau	Conforme					2020-08-31	2017-06-23	6681	1750603084	16Z2	4	48.8710802535,2.29694609994
047702G20140418152241	INTERDIT	Arret_vigipirate_perennise	17	17U	2.40	RUE	ARTHUR_BRIERE	Impair	47.36	47.36	Absente	Avec_panonceau	Conforme					2020-08-31	2017-09-22	444	1750596891	17ZA	5	48.8953338735,2.32691786616
144301D20110523111542	INTERDIT	Stationnement_genant				RUE	CAMBACERES	Pair	66.53	66.53	Absente	Avec_panonceau	Conforme					2020-08-31	2017-08-21	1435	750602780			48.8728752459,2.31803700341
933713D20141112150337	INTERDIT	Arret_genant_divers	13	13M	2.40	RUE_DE	TOLBIAC	Pair	37.15	37.15	Absente	Avec_panonceau	Conforme					2020-07-07	2020-07-29	9320	750617887	13Z4	8	48.8267779882,2.36435969495
496101G20111115152535	LIVRAISON_BUS	Livraison_BUS	14	14N	2,4	RUE	JEAN_ZAY	Impair	49,21718142	49,21718142	Absente	Avec_panonceau	Conforme	19:30	07:30	09:30	16:30	2020-08-31	2017-08-18	4848	1750614859	14Z1A	2	48.8375330473,2.32184969249
091323D20140103134032	INTERDIT	Arret_simple	17	17N	2.40	BOULEVARD	BERTHIER	Pair	8.79	8.79	Presente	Absente	Conforme					2020-08-31	2017-10-03	153	750598603	17ZD	5	48.886332203,2.29469596053
659901D20101020091842	INTERDIT	Stationnement_genant	13	13L	2.40	RUE_DU	MOULINET	Pair	125.50	125.50	Absente	Avec_panonceau	Conforme					2020-07-09	2020-07-29	6542	750617856	13Z3	8	48.8271084328,2.35545960211
435701G20140122171207	INTERDIT	Stationnement_simple	16	16Z	2.40	RUE	GUDIN	Inconnu	21.69	21.69	Presente	Absente	Conforme					2020-08-31	2017-09-26	5481	1750614806	16Z6	4	48.8377490107,2.25946916379
718202G20100621111905	INTERDIT	Stationnement_genant	20	20P	2.40	RUE	PAUL_STRAUSS	Impair	156.93	156.93	Absente	Absente	SV_Non-conforme					2020-07-28	2020-08-11	7124	1750604799	20Z3	7	48.8665752392,2.40737655609
382001D20100709155613	INTERDIT	Stationnement_genant	3	34F	4.00	RUE_DES	FRANCS_BOURGEOIS	Pair	25.88	25.88	Absente	Avec_panonceau	Conforme					2020-08-31	2017-07-03	3833	750608542	04Z3	1	48.8564094239,2.36461399272
228701G20110601133824	INTERDIT	Stationnement_genant	7	7L	4.00	RUE_DE	CONSTANTINE	Impair	46.01	46.01	Absente	Avec_panonceau	Conforme					2020-07-01	2021-04-30	2288	1750607304	07Z3	3	48.8606097075,2.31496759439
051705D20111006160036	INTERDIT	Stationnement_genant				RUE_D	AUBERVILLIERS	Pair	31.23	31.23	Absente	Avec_panonceau	Conforme					2020-08-31	2017-10-02	495	750598432			48.8870698745,2.3669712774
501006D20101013080159	INTERDIT	Stationnement_genant	18	18P	2.40	RUE	JOSEPH_DE_MAISTRE	Pair	12.96	12.96	Absente	Avec_panonceau	Conforme					2020-08-31	2017-09-26	4899	750597237	18Z7	5	48.8929990599,2.33037162367
209001D20110816150556	INTERDIT	Arret_vigipirate_perennise	9	9F	4.00	RUE	CLAUZEL	Pair	37.22	37.22	Absente	Avec_panonceau	Conforme					2020-08-20	2020-08-26	2094	750600480	6	1	48.8791122834,2.33868446248
328905D20111110134941	INTERDIT	Stationnement_genant	15	15P	2.40	RUE_DES	ENTREPRENEURS	Pair	12.28	12.28	Absente	Absente	SV_Non-conforme					2020-08-31	2017-08-29	3313	750612643	15Z3	3	48.8449526859,2.28966301207
984110G20130806151112	INTERDIT	Stationnement_simple	17	17J	2.40	AVENUE_DE	VILLIERS	Impair	7.00	7.00	Presente	Absente	Conforme					2020-08-31	2017-09-25	9819	1750599381	17ZE	5	48.8835169832,2.30582378535
552101D20100805100836	INTERDIT	Arret_genant_divers	16	16I	2.40	RUE	LEO_DELIBES	Pair	7.35	7.35	Absente	Avec_panonceau	Conforme					2020-08-31	2017-09-12	5456	750604640	16Z2	4	48.8669415758,2.28822445807
685802G20111220122651	INTERDIT	Stationnement_genant	11	11G	4.00	RUE	OBERKAMPF	Impair	39.89	39.89	Absente	Avec_panonceau	Conforme					2020-08-31	2017-08-01	6802	1750606288	11Z1	7	48.8628098328,2.36764634595
194303G20140324161252	INTERDIT	Stationnement_genant				RUE_DES	CHAUFOURNIERS	Impair	81.48	81.48	Abime	Avec_panonceau	Conforme					2020-08-31	2017-12-11	1933	1750600955			48.8776557834,2.37461068497
746301D20110829151007	INTERDIT	Stationnement_genant	15	15T	2.40	RUE	PIERRE_MILLE	Pair	109.39	109.39	Absente	Absente	SV_Non-conforme					2020-08-31	2017-11-27	7422	750616460	15Z6	3	48.8324967691,2.29280496429
472602G20111122160131	INTERDIT	Stationnement_genant	7	7M	4.00	BOULEVARD_DES	INVALIDES	Impair	27.76	27.76	Presente	Avec_panonceau	Conforme					2020-08-31	2017-06-16	4639	1750609414	07Z3	3	48.8544345906,2.31491451748
497304D20140306183133	INTERDIT	Arret_vigipirate_perennise	2	2E	4.00	RUE_DES	JEUNEURS	Pair	17.22	17.22	Presente	Abime	SV_Non-conforme					2020-08-31	2017-07-04	4859	750603640	02Z1	1	48.8697908605,2.34353501859
599704D20131203132910	INTERDIT	Arret_genant_divers	8	8E	4.00	AVENUE	MARCEAU	Pair	3.43	3.43	Presente	Absente	SV_Non-conforme					2020-08-17	2020-08-27	5923	750604593	08Z1	5	48.8668082707,2.29967678832
910002D20150224112508	INTERDIT	Arret_genant_divers	10	10F	4.00	BOULEVARD_DE	STRASBOURG	Pair	7.15	7.15	Absente	Avec_panonceau	Conforme					2020-08-31	2017-07-10	8714	750603271	10Z2	6	48.8707340389,2.355084886
801301D20140306150512	INTERDIT	Stationnement_genant	18	18L	2.40	PASSAGE	RAMEY	Pair	6.40	6.40	Absente	Avec_panonceau	Conforme					2020-08-19	2020-09-02	8028	1750594014	18Z3	5	48.8898203493,2.34714033196
703208G20100616141847	INTERDIT	Arret_genant_divers	20	20F	2.40	RUE_DES	PANOYAUX	Impair	83.14	83.14	Absente	Avec_panonceau	Conforme					2020-08-31	2017-10-19	6944	1750604347	20Z1	7	48.8674752856,2.38962441531
931406D20131108124223	INTERDIT	Stationnement_genant	17	17E	2.40	RUE_DE	TILSITT	Pair	51.99	51.99	Absente	Absente	SV_Non-conforme					2020-08-31	2017-09-28	9296	750602002	17ZG	5	48.8748699265,2.29342468893
531503G20140320113311	INTERDIT	Arret_vigipirate_perennise	10	10F	4.00	RUE_DE	LANCRY	Impair	25.32	25.32	Absente	Absente	SV_Non-conforme					2020-08-31	2017-07-28	5241	1750603194	10Z4	6	48.871146013,2.36168486206
556401D20111124152807	INTERDIT	Stationnement_simple	14	14M	2.40	RUE	LEONIDAS	Inconnu	7.70	7.70	Presente	Absente	Conforme					2020-08-01	2020-08-24	7472	750616961	14Z1A	2	48.830288013,2.32332322244
133101G20140225160555	INTERDIT	Stationnement_genant	12	12G	2.40	PASSAGE	BRULON	Impair	109.72	109.72	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-27	1326	1750610945	12ZA	8	48.8496123502,2.38031459105
093601D20110526161554	INTERDIT	Stationnement_genant	17	17T	2.40	RUE	BESSIERES	Pair	88.80	88.80	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-15	939	750596975	17ZA	5	48.8947894506,2.31597839213
804515G20111129114713	LIVRAISON_BUS	Livraison_BUS				BOULEVARD	RASPAIL	Inconnu	27,86806963	27,86806964	Absente	Avec_panonceau	Conforme	19:30	07:30	09:30	16:30	2020-08-31	2017-08-17	8055	1750595366			48.8447295717,2.32894206154
318802D20100506154148	INTERDIT	Stationnement_simple	7	7E	4.00	AVENUE	ELISEE_RECLUS	Pair	4.55	4.55	Presente	Absente	Conforme					2020-08-31	2017-06-15	3220	750608183	07Z1	3	48.8581236803,2.29803774797
